,const,"Access to electricity, urban (% of urban population)",Adjusted net national income (annual % growth),Adjusted net national income (constant 2010 US$),Adjusted net national income per capita (constant 2010 US$),"Adjusted net savings, excluding particulate emission damage (current US$)","Adjusted net savings, including particulate emission damage (current US$)",Adjusted savings: education expenditure (% of GNI),Adjusted savings: education expenditure (current US$),Average interest on new external debt commitments (%),GNI (constant 2010 US$),GNI (constant LCU)
0,1.0,98.2188339233398,14.2557999508882,596394396.670884,3179.88822657655,201656732.345459,198720680.735091,4.5369273,18328571.334189102,5.0,512383357.11712307,908318649.208344
1,1.0,98.1783676147461,5.403114449121361,628618268.491159,3289.02539942844,199114119.840174,196279544.984728,4.4,19154111.966,7.7162,570855068.608572,1011973354.73515
2,1.0,98.1377334594727,8.215612487305581,680263109.454803,3500.79050960442,79879751.5890947,76993896.7798593,4.2,21138141.8682,6.2292,634982845.158517,1125654750.8295
3,1.0,98.09606170654301,4.9176870551943495,713716320.3297241,3611.63225816596,91637016.086035,88777514.76091379,4.4,23817562.4896,6.2217,672004506.443795,1191284254.40919
4,1.0,98.0523300170898,2.51702537919923,731680741.2479099,3628.03703624617,78304974.1542499,75401760.6613332,5.2,28872848.1964,5.8356,664656777.684863,1178258696.55615
5,1.0,98.0055084228516,3.8238288308454003,759658960.3814911,3670.50613095815,92644379.4960725,89494072.08599108,5.4,32268731.3892,5.955,673832778.815642,1194525292.3315
6,1.0,97.9545669555664,-0.527656697609331,755650568.998049,3536.4316488423997,73602388.85780258,70271096.8660766,4.9,30134022.9253,4.3478,680467292.664541,1206286510.90678
7,1.0,97.89846801757808,1.3478216173236,765835390.718434,3455.8423089556895,68771223.53745429,65366326.7612429,4.8,30286699.8096,6.8314,709535781.145257,1257817166.27366
8,1.0,97.83618927001949,3.49364812669634,792590984.499846,3441.79788652206,59351959.0227434,55767913.2323975,5.1650204,33925941.1822737,6.5884,727362886.392315,1289419855.80755
9,1.0,97.76669311523442,4.9000986177137,831428724.375446,3478.40286987795,54593162.9339443,51021225.7218116,5.1425102,35616593.6743432,5.8955,784996503.1736691,1391588843.57166
10,1.0,97.6895904541016,0.402789718797976,834777633.796364,3375.36192223021,27376589.8902525,23791527.8359785,5.12,39893675.52,8.5502,879064758.1598231,1558346700.0
11,1.0,97.60706329345699,2.6725285640247995,857087304.505662,3361.3375917926696,-45086034.0879207,-48723702.682527795,5.01,40321036.11,5.0023,910262583.9827679,1613652100.95832
12,1.0,97.5219192504883,6.12999379712433,909626703.107799,3469.1300088777502,-56697605.5102053,-60397629.247935794,5.0550000000000095,43729323.8850001,6.6821,961307002.2452561,1704140202.1071901
13,1.0,97.43698120117192,2.0213974993061496,928013874.537441,3448.19928858708,-77534247.4635943,-81129050.1400456,5.1,45945706.2,8.8319,1035190489.7606599,1835115864.46356
14,1.0,97.3550643920898,0.475450884241965,932426124.7098169,3377.26647823643,-69918259.2129323,-73544828.9935433,5.1,47996168.85,6.4075,1062350907.61917,1883264020.95322
15,1.0,97.2789764404297,3.1296023401750497,961607354.529139,3394.58323312214,-30706431.511018,-34357302.8820627,5.32857142857139,53273802.2642854,3.6135,1098870812.65187,1948004044.89771
16,1.0,98.0671414038657,0.7538350839835178,968856288.1377461,3332.30020649481,28795393.189992104,24947771.3494347,5.5571428571428605,60692869.2,2.9174,1149357310.645,2037503102.63135
17,1.0,97.1555862426758,-1.5035007873834898,954289526.2169801,3197.9461816143103,-4652325.51269851,-8632962.09651635,5.785714285714331,65470549.82142901,4.3048,1135147332.65922,2012312612.2884398
18,1.0,97.1131362915039,-3.17667052033867,923974892.1589661,3017.89849316207,-11337831.336142099,-15339717.3632082,6.01428571428571,72378795.1285713,4.1012,1179185609.22776,2090380698.0889897
19,1.0,97.08319091796879,8.08686449592358,998695489.664217,3181.27821789073,-20080380.2417255,-23982231.554675303,6.24285714285717,77696897.3231432,1.9352,1254873571.8314,2224555212.1487103
20,1.0,96.999642510597,-2.40153843515799,974711433.629742,3030.7437427854497,-68531447.638982,-72488515.242252,6.471428571428549,81425616.1409997,2.0424,1258232478.76082,2230509655.75538
21,1.0,96.31336405529949,6.65331526888586,1039562058.2710099,3157.9201750680604,-53612195.0089795,-57779549.7638811,6.7,93090501.95899999,3.2758,1326569336.97832,2351652627.87785
22,1.0,97.05047607421879,5.59861668812151,1097763153.14875,3260.350141962,-25455307.8896095,-29635123.969993297,6.5450000000000195,94487860.7673003,0.0712,1349510084.01786,2392320436.60611
23,1.0,97.0526657104492,4.0687870209723105,1142428797.8450801,3319.26747218783,-36349067.9669278,-40565817.8998354,6.39,95160302.8263,1.8357,1363509105.83909,2417136958.09198
24,1.0,97.0584259033203,4.2442709658756295,1190916571.61782,3386.22942563086,-12708845.004655302,-16773665.7383249,6.39,99374497.155,2.9294,1403370046.28175,2487799744.21908
25,1.0,96.9,12.793254251461802,1343273556.5476801,3738.7097719592102,68556507.1704513,64404793.43320649,6.39,106542179.325,1.9539,1490453492.2254,2642175402.38446
26,1.0,97.07382202148442,-1.19308016872036,1327247226.1328402,3616.9308036779707,6179152.36274841,1812940.31168385,6.39,108364073.76,1.8406,1470416239.7411199,2606654712.92888
