,const,Adjusted savings: education expenditure (current US$),Adults (ages 15+) and children (ages 0-14) newly infected with HIV,DEC alternative conversion factor (LCU per US$),Final consumption expenditure (constant 2010 US$),General government final consumption expenditure (constant 2010 US$),General government final consumption expenditure (constant LCU),Interest payments (% of expense),"Interest payments on external debt, long-term (INT, current US$)","Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
0,1.0,237121726.78488302,200.0,91.54,14547341280.5919,3741188990.59514,2361951423697.28,12.784919946368001,174826818.1,2000000.0,172826818.1,0.803665942009675
1,1.0,230502567.042,200.0,122.43,14409983700.723999,3707390514.9548,2340613191959.14,17.0703149072533,201531921.0,25834000.0,175697921.0,0.452810440743253
2,1.0,283258515.948,500.0,134.5063,15654381835.1372,3830870317.09216,2418570572671.36,16.15974222526,218006140.6,25508000.0,192498140.6,0.219966934073173
3,1.0,307940767.299,500.0,142.1717,17030256233.004,4022826813.26656,2539759831104.13,12.702323642015099,186739568.3,26000000.0,160739568.3,0.14076124892238698
4,1.0,341238086.90400004,500.0,157.0667,17831559510.2261,4121315041.06308,2601939103641.87,13.952015203104,195909639.3,22000000.0,173909639.3,0.0863475234968939
5,1.0,375015320.361,500.0,179.63,18150258392.4367,4116736721.19916,2599048640436.75,20.3758676874316,226751231.1,20668000.0,206083231.1,1.33274165498842
6,1.0,437685113.248,500.0,207.71,18424562467.1426,4108566875.5400896,2593890713736.35,20.8970270171194,197146452.0,18372000.0,178774452.0,0.13937448429097302
7,1.0,623317745.36325,500.0,232.6,19317369772.0599,4314280149.62078,2723765136496.0,18.107526881720396,185021158.9,16075000.0,168946158.9,0.43903955537416495
8,1.0,700544439.332196,500.0,257.19,20139836595.0701,4433548181.25441,2799063470214.72,15.661171518765302,181862053.9,18644000.0,163218053.9,0.37939359244501597
9,1.0,749468668.3592,500.0,285.68,20454746887.1799,4534494872.34197,2862794861847.48,18.2307564237749,155790240.8,11361000.0,144429240.8,0.117233545137609
10,1.0,677412308.79,500.0,308.19,20671760026.7237,4612504828.60206,2912045441733.79,17.2628564142301,202201079.7,11565000.0,190636079.7,2.0039443838343303
11,1.0,727130846.8905,500.0,328.87,21235846458.0177,4811739926.02966,3037829951204.59,17.888204990968102,235420250.0,10514000.0,224906250.0,4.56961581486783
12,1.0,656507728.1034,500.0,359.82,22016176756.6189,4915098912.012711,3103084314111.22,17.7586572363502,236587830.3,9462000.0,227125830.3,3.15203354675422
13,1.0,668297797.8292509,500.0,398.6633,22806711433.9279,5008424974.6041,3162004520216.8,18.352290193667397,234222215.4,8411000.0,225811215.4,5.4531947295688
14,1.0,706160526.7196,500.0,437.9108,23325434554.8009,5058091469.052421,3193360820999.03,18.182313369828698,151517065.8,29360000.0,122157065.8,5.644386659342179
15,1.0,812535799.84673,530.0,477.7867,24285831416.7899,5099761106.13029,3219668409006.06,18.1940295286823,176774345.6,71728000.0,105046345.6,5.11655852655921
16,1.0,983790492.2357839,560.0,511.3018,25445394707.3129,5259381353.31741,3320442593641.56,17.4677711251604,172694944.9,77573000.0,95121944.9,8.31021877017685
17,1.0,1233807453.2796,600.0,516.6174,27168574564.4136,5379548146.58515,3396308348927.75,14.3392537103495,204569705.6,89614000.0,114955705.6,11.1187568516174
18,1.0,1500935907.95,640.0,526.2355,28725358401.2088,5658159996.29373,3572206347326.76,9.75378677931978,345338486.9,97325000.0,248013486.9,9.481026722254311
19,1.0,1831995482.8179998,680.0,573.288,29232500318.1107,5998869167.69297,3787308688982.36,8.36331328621497,342164352.8,123792000.0,218372352.8,11.235263704909402
20,1.0,2314287316.6337,720.0,525.8292,30619091266.477,6245911452.920779,3943275649960.3,8.07912868092303,313052180.2,100302000.0,212750180.2,5.19538635718368
21,1.0,2708882778.8119397,760.0,505.6642,32198755987.4174,6306863830.90813,3981757147774.73,8.321365427443839,397264515.0,196926000.0,200338515.0,4.0028475855062995
22,1.0,3083623583.3232,810.0,502.9015,33787694570.9231,6322544809.00498,3991657131077.88,7.75896832307024,561244361.7,359187000.0,202057361.7,5.03127259010858
23,1.0,3386494305.7428603,850.0,499.7668,34797290369.2614,6527461458.81148,4121028615375.11,9.409821983945971,728300124.7,474965000.0,253335124.7,6.14526059054042
24,1.0,3436633491.2582397,900.0,538.3172,36149764011.7157,6716152368.17209,4240156187685.25,9.349708151316909,996973114.7,609890000.0,387083114.7,7.05050384760951
25,1.0,3728328151.12856,950.0,534.5658,37649496428.855,6874606921.19505,4340194426342.73,9.3831290157916,1027884087.9,204944000.0,822940087.9,1.05461005427854
26,1.0,3906554403.8739796,1000.0,544.7394,39011976785.7455,7036170139.80429,4442195280929.47,10.150818803657199,1054729683.2,454108000.0,600621683.2,0.645288789474437
