,"Adjusted net savings, including particulate emission damage (current US$)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Children (ages 0-14) newly infected with HIV,Final consumption expenditure (constant 2010 US$),"GDP per capita, PPP (constant 2011 international $)","GDP per capita, PPP (current international $)",Imports of goods and services (current US$),"Manufacturing, value added (current LCU)","Manufacturing, value added (current US$)","Mortality rate, adult, male (per 1,000 male adults)"
0,374179898.775987,0.7840118975370219,0.7840118975370219,100.0,11707383590.7162,4544.58540805616,2936.6169137074603,1499153633.11014,901682576.2901199,901682576.2901199,340.44599999999997
1,432322181.15747595,1.0551014214446701,1.0551014214446701,100.0,11815007156.5466,4550.4342089066295,3038.26776261752,1603417100.0,987234094.8541279,987234094.8541279,330.292
2,766388075.1822151,0.73032764632572,0.73032764632572,100.0,12644398683.494,4803.34974879476,3280.2445856670397,1891815600.0,1143333461.57799,1143333461.57799,320.137
3,1026099526.88217,0.523736417053242,0.523736417053242,100.0,13327502319.3923,5014.46279758515,3505.89110932016,2281645100.0,1368868620.0501802,1368868620.0501802,318.406
4,1368183691.79245,0.529238044689368,0.529238044689368,100.0,14122600998.8459,5182.4637044621795,3700.4596308301293,2705134100.0,1532770467.76738,1532770467.76738,316.675
5,1378805831.77056,0.7372495120893371,0.7372495120893371,100.0,15029411981.5426,5363.8424336695,3909.8511596833205,3373053900.0,1709461351.4466698,1709461351.4466698,314.944
6,1049785640.2218901,0.480526482650856,0.480526482650856,100.0,15337444150.4445,5349.72432632245,3970.7486388198204,3272855600.0,1788514211.29259,1788514211.29259,313.21299999999997
7,1206008192.9407198,0.7838450873427071,0.7838450873427071,100.0,15588921467.1937,5463.654999332821,4124.71869755899,3836743500.0,1884220704.9425,1884220704.9425,311.481
8,1694669452.01496,0.6255024374689929,0.6255024374689929,100.0,15528406856.3376,5559.21811862463,4242.40960603601,3990321100.0,2038585559.63607,2038585559.63607,309.48400000000004
9,1468320617.88874,0.5372099192468571,0.5372099192468571,100.0,15921555129.2159,5634.0088242888905,4365.28063917495,4129349000.0,2185618588.26866,2185618588.26866,307.486
10,1425505960.78311,0.48048755738412996,0.48048755738412996,100.0,16283124589.9585,5656.242809173821,4482.23256172599,4935859900.0,2301934358.5970397,2301934358.5970397,305.48900000000003
11,1773267464.99356,0.47006181025250204,0.47006181025250204,100.0,16600294063.5279,5668.82893200525,4594.57923720804,5021277400.0,2364184798.21956,2364184798.21956,303.491
12,1505250623.04785,0.443571774705984,0.443571774705984,100.0,16761939724.7065,5725.155632099611,4711.46530392758,5117092900.0,2391013209.78296,2391013209.78296,301.494
13,1459035334.42746,0.43413838634708596,0.43413838634708596,100.0,16911448086.201,5784.18460782631,4854.960597226471,5603962500.0,2396680015.26926,2396680015.26926,298.82
14,1554232044.55723,0.42118311343191295,0.42118311343191295,100.0,17210929169.4272,5807.273633717379,5008.3711611742,6021905400.0,2409744991.5806103,2409744991.5806103,296.14599999999996
15,1875978190.87707,0.397252655369637,0.397252655369637,100.0,17861212050.6044,5936.61903991398,5284.66320086721,6533150000.0,2443650000.0,2443650000.0,293.472
16,2096750801.5131302,0.529428203771601,0.529428203771601,100.0,18675683320.112,6166.29637639285,5657.75783939557,7602490000.0,2616070000.0,2616070000.0,290.798
17,1523750406.45852,0.5514606940654301,0.5514606940654301,100.0,19805562160.9788,6253.151520495229,5890.142826811911,8855300000.0,2760380000.0,2760380000.0,288.124
18,1284587233.83075,0.5744121837195629,0.5744121837195629,100.0,19888745522.0549,6358.13298149425,6106.51144357932,9699500000.0,3033330000.0,3033330000.0,284.948
19,1338322964.98705,0.56632940863509,0.56632940863509,100.0,18770998023.7154,6198.30449948129,5998.21734745823,7413800000.0,2847750000.0,2847750000.0,281.772
20,1588794947.36725,1.0080065417441502,1.0080065417441502,100.0,18996250000.0,6300.77538777337,6171.85069673281,8595000000.0,2977670000.0,2977670000.0,278.597
21,1542401363.48268,0.804163823594332,0.804163823594332,100.0,19560438625.0,6511.443727018929,6511.443727018929,10201700000.0,3295460000.0,3295460000.0,275.421
22,1243470336.29706,0.7647114376486529,0.7647114376486529,100.0,20153119915.3375,6663.811622465771,6791.61292962306,10496200000.0,3458870000.0,3458870000.0,272.245
23,849438361.32848,0.875844939861302,0.875844939861302,100.0,20828249432.5013,6789.860003054489,7041.52117990203,11098500000.0,3500000000.0,3500000000.0,268.603
24,1118330300.64504,1.06436146852141,1.06436146852141,100.0,20836580732.2743,6890.72322429183,7281.3191063885,10892560000.0,3587680000.0,3587680000.0,264.96
25,1151175234.80691,0.833773103222159,0.833773103222159,100.0,21269981611.5056,7019.59179902723,7496.810404929571,10915620000.0,3709620000.0,3709620000.0,261.317
26,1271696742.9266,0.9760464359713291,0.9760464359713291,100.0,21542237376.1329,7164.14351458183,7734.8575614809915,10544090000.0,3755080000.0,3755080000.0,257.67400000000004
