,const,Adjusted net national income (current US$),Adjusted savings: consumption of fixed capital (% of GNI),Adjusted savings: consumption of fixed capital (current US$),Adjusted savings: education expenditure (current US$),Adjusted savings: particulate emission damage (% of GNI),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adults (ages 15+) newly infected with HIV,Age dependency ratio (% of working-age population),"Fertility rate, total (births per woman)",Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU)
0,1.0,853586702.5234799,9.406366962560108,92914029.5225437,35422649.9043506,1.1283347383746,151.7296,500.0,95.87235438233,4.5969999999999995,4279383136.5320296,66939679448.0536
1,1.0,974159601.069935,11.778227816057598,136478745.60243002,41553416.8956344,1.3484682604911797,148.9448,500.0,94.37345679861929,4.433,4648754204.25153,72717517066.6236
2,1.0,1091531968.11702,12.5587327406741,162936998.577506,53193400.0,1.33857417596488,146.16,500.0,92.8221417425893,4.27,4770918718.836821,74628459177.9891
3,1.0,1130826001.4833698,11.9986836878768,158953071.859231,51512421.12865271,1.2156947701349599,141.9748,520.0,91.19041253450459,4.105,4627095680.01946,72378726492.572
4,1.0,3002835266.62776,10.1275981984748,343211854.406434,47444279.162,0.954888036443395,137.7896,620.0,89.4198731593185,3.9419999999999997,4688918762.268889,73345785803.7468
5,1.0,3326550904.12285,10.2743125731381,387336659.734775,56549281.08,0.831409174538759,133.6044,740.0,87.4900101057486,3.78,4889560138.28933,76484291744.0465
6,1.0,3545165205.99288,9.85245010834103,392526726.033486,59760778.545,0.74829132079834,129.4192,870.0,85.4225612394588,3.623,5074220143.3748,79372811222.8877
7,1.0,3662428906.9137897,9.81952398596245,405081443.898315,150581265.421028,0.684879010967955,125.234,990.0,83.2953210417563,3.4730000000000003,5298370794.04067,82879057853.5191
8,1.0,3969997067.56629,9.626294691449749,428366959.040218,145873632.556541,0.629757141395907,122.8254,1100.0,81.1374220714488,3.3310000000000004,5571446485.606871,87150607905.3124
9,1.0,4147044120.3693705,9.9967799150358,465741766.386013,140865292.60956898,0.578815974881652,120.4168,1100.0,78.9937329808663,3.201,5821677508.42495,91064813275.8031
10,1.0,4399755365.8608,9.38420005549108,460344655.797025,135836141.356664,0.546940546927434,118.0082,1100.0,76.89073501135921,3.083,6125098435.93674,95811034630.0168
11,1.0,4536358166.79504,9.8659489123842,501471045.792413,127809235.480306,0.531047156045488,115.5996,1200.0,74.78090494413321,2.978,6377346358.37766,99756789083.61699
12,1.0,4485447545.2191105,9.71645942722744,487602348.325243,113413874.2068,0.53097329973386,113.191,1100.0,72.7347603499228,2.887,6608178303.2757,103367546967.373
13,1.0,4567768031.40534,9.86656711407073,505587988.026504,127593931.671598,0.518932335169761,111.4936,900.0,70.7833764402135,2.807,6747244008.92918,105542863703.842
14,1.0,4996673603.40291,9.82409596450749,550490093.799865,152414335.175998,0.49189151668447895,109.7962,820.0,68.97123223196749,2.738,6892224698.36469,107810704784.51599
15,1.0,5543185279.54399,9.403316053564028,580310155.273445,182054388.931003,0.46939447481675295,108.0988,710.0,67.3192205682784,2.677,7138905855.32042,111669381852.135
16,1.0,5850300962.47514,9.56129902185871,626052022.9960849,208219137.229803,0.4375774135602679,106.4014,640.0,65.5761645173991,2.622,7333076542.114541,114706670900.0
17,1.0,6462123394.679171,9.55269096313066,690437688.890898,246463800.43120298,0.407872419675503,104.704,560.0,64.05358465947211,2.571,7619098424.95451,119180730020.575
18,1.0,7382403476.252191,9.436823095411901,780903324.632766,301212396.685204,0.389967328272871,102.32,500.0,62.6830091017477,2.522,7916098677.713409,123826516827.078
19,1.0,7181592881.70383,9.331691239369961,750500814.872719,311244562.111503,0.39245763043796295,99.936,500.0,61.3670827247567,2.475,8051534114.5719795,125945047568.536
20,1.0,7425188054.27763,9.57714504137312,814911832.810342,348865815.448,0.35424898329955296,97.552,500.0,60.0598482008159,2.428,8284777350.1151905,129593523744.32
21,1.0,8269885795.2700405,9.485285784916579,901246012.327458,389562184.454,0.326012725627037,95.16799999999999,500.0,58.739599131824896,2.383,8514357536.405,133184701161.14699
22,1.0,8868653214.54762,9.650335611373029,986032800.37994,418921646.28900003,0.29889819609688,92.78399999999999,500.0,57.3912261025218,2.34,8861321310.539042,138612035681.01
23,1.0,9224837419.52207,9.77537577323096,1041641779.46594,436886662.455,0.279934794536276,91.3064,500.0,56.104207274041,2.3,9221890731.400558,144252194713.557
24,1.0,10019581795.6221,9.71296611343374,1123473422.59876,474236291.866,0.26337471628346304,89.8288,500.0,55.0008015509366,2.2640000000000002,9637395920.7726,150751679171.522
25,1.0,10731306791.4603,9.929813764179631,1217930089.53484,502880868.23,0.24013708211998103,88.3512,500.0,54.1297774380849,2.231,10151476615.4902,158793117812.77402
26,1.0,11163730107.9782,9.93574850290296,1274547869.88356,525943894.916,0.22214588257354997,86.8736,500.0,53.2675529539365,2.2,10734676945.4352,167915751121.12302
