,const,"Adjusted net savings, excluding particulate emission damage (current US$)","Adjusted net savings, including particulate emission damage (current US$)",Adjusted savings: particulate emission damage (current US$),Children (0-14) living with HIV,Final consumption expenditure (current LCU),Forest area (% of land area),Forest area (sq. km),GDP (constant 2010 US$),GDP (constant LCU),GNI (constant 2010 US$),GNI (constant LCU)
0,1.0,835680010.876804,825690910.261338,9989100.61546667,100.0,5378381000.0,67.7966101694915,50400.0,10035951900.2528,8544805677.91674,9718541672.39207,8253347357.308109
1,1.0,571621625.133061,561506408.4662889,10115216.666772198,100.0,6030632600.0,67.5638982420299,50227.001953125,10981238767.9587,9349641400.0,10338072577.9798,8779476064.14161
2,1.0,1217656411.1115198,1206353408.51402,11303002.5975006,100.0,6470093900.0,67.33117974635121,50053.9990234375,11881884868.416,10116469100.0,11329046842.0794,9621048297.86478
3,1.0,1523832364.3009,1511463917.27639,12368447.024513401,100.0,6956048400.0,67.0984678188896,49881.0009765625,12530130140.9661,10668397800.0,12216334976.321001,10374566410.4348
4,1.0,1896279931.93156,1883692006.2121,12587925.7194616,100.0,7136360900.0,66.86574932321089,49707.998046875,12887257245.9671,10972462800.0,12722039482.3307,10804029501.6011
5,1.0,1963371444.37888,1949764245.3781102,13607199.0007631,200.0,7120998000.0,66.6330373957493,49535.0,13113000593.5196,11164665100.0,12705510540.2887,10789992508.7353
6,1.0,2102407712.92805,2089024826.2641199,13382886.663927801,200.0,7290349500.0,66.4003254682876,49362.001953125,13647972099.1081,11620150300.0,13295732449.8577,11291230925.1332
7,1.0,2242397001.93537,2228180312.3295197,14216689.605844501,200.0,7657716100.0,66.167606972609,49188.9990234375,14529766271.6893,12370927100.0,13984835641.2732,11876443006.8942
8,1.0,2001517806.7056398,1987147606.48185,14370200.2237889,200.0,8870687400.0,65.9348950451473,49016.0009765625,15596469164.6531,13279138800.0,14969697673.4076,12712824505.7069
9,1.0,1776694817.6775398,1762313510.2684102,14381307.4091263,200.0,9381489900.0,65.7021765494687,48842.998046875,16207415082.3799,13799310100.0,15367453163.8167,13050613274.4631
10,1.0,2255556777.76472,2241317663.34998,14239114.414738199,200.0,9225867800.0,65.469464622007,48670.0,16647507042.6926,14174013000.0,16043263717.7057,13624536753.6231
11,1.0,1891930399.35715,1876939927.5971699,14990471.7599792,200.0,9689818200.0,65.2407855797686,48500.0,16743109145.9577,14255410500.0,16043995915.2736,13625158563.0536
12,1.0,1836344731.73095,1820627353.69488,15717378.0360706,200.0,10539242400.0,65.0121065375303,48330.0,17116338065.8118,14573184900.0,16949638026.876999,14394263556.4191
13,1.0,1957688950.64024,1941382633.33634,16306317.3038979,500.0,10667609500.0,64.7834274952919,48160.0,17836164969.0704,15186059600.0,17092673006.4582,14515734185.5037
14,1.0,1669771140.46231,1652450050.10294,17321090.3593645,500.0,11948999800.0,64.5547484530535,47990.0,19177815505.9488,16328367100.0,18122631501.1817,15390413279.0462
15,1.0,2221708918.89983,2203591889.44419,18117029.4556387,500.0,12631452200.0,64.3260694108152,47820.0,20556945802.2459,17502585600.0,19309500256.9077,16398346407.1584
16,1.0,2864078236.5497303,2844535634.4092197,19542602.1405108,500.0,13520128300.0,64.1027697382802,47653.9990234375,22335628468.3681,19016990800.0,21012089929.0784,17844248935.0354
17,1.0,4461084884.80261,4439580633.44856,21504251.3540443,500.0,15036914000.0,63.8794700657452,47487.998046875,25012326921.8513,21295984200.0,23308378537.7359,19794342700.0
18,1.0,6082299170.48533,6056131576.49437,26167593.9909593,500.0,17154288000.0,63.6561769614272,47322.001953125,27477455533.6189,23394842900.0,25795377825.2667,21906395072.5981
19,1.0,6145615702.65429,6116124770.83385,29490931.820444606,500.0,18417850800.0,63.4328772888923,47156.0009765625,27818998195.0188,23685639000.0,25949747009.7461,22037491130.3937
20,1.0,5282095584.3392105,5250499620.3887205,31595963.9504815,500.0,20601408100.0,63.2095776163573,46990.0,29440287600.0,25066036500.0,26743600000.0,22711660640.6007
21,1.0,8328014969.34583,8291876363.47395,36138605.871871896,500.0,23374815200.0,62.9889709127825,46826.0009765625,32771051605.8051,27901914100.0,30868706522.2222,26214854654.8336
22,1.0,10798974199.9343,10758079604.1514,40894595.7828929,500.0,25869910600.0,62.768364209207704,46662.001953125,35975676272.1291,30630394200.0,33644572085.6843,28572223021.8927
23,1.0,12398433915.268,12353123810.2224,45310105.045584604,500.0,28866008500.0,62.5477509374159,46497.998046875,38459234340.855,32744944100.0,35582595688.9004,30218064807.9544
24,1.0,11032548325.9322,10984809790.1732,47738535.7590429,500.0,31983183126.1786,62.3271442338411,46333.9990234375,40407814956.7071,34404003736.3652,36344932479.7928,30865469588.4848
25,1.0,12603758972.4485,12555721868.7686,48037103.679965205,500.0,33434523443.1795,62.1065375302664,46170.0,42724269829.1143,36376278707.6994,38309435101.8308,32533798343.0016
26,1.0,12724842466.7639,12674620629.5948,50221837.16912971,500.0,36166469742.4509,61.88593082669151,46006.0009765625,44846154386.8839,38182892708.7746,40188647264.8625,34129695264.8246
