Brochure_Name_En,Geo_Unit_En,Period_Id,Datum
"Reported cases of malaria, total",Andean Area,1990,266400
"Reported cases of malaria, total",Andean Area,1991,339118
"Reported cases of malaria, total",Andean Area,1992,325936
"Reported cases of malaria, total",Andean Area,1993,314807
"Reported cases of malaria, total",Andean Area,1994,330323
"Reported cases of malaria, total",Andean Area,1995,465143
"Reported cases of malaria, total",Andean Area,1996,445262
"Reported cases of malaria, total",Andean Area,1997,451479
"Reported cases of malaria, total",Andean Area,1998,577206
"Reported cases of malaria, total",Andean Area,1999,384880
"Reported cases of malaria, total",Andean Area,2000,378486
"Reported cases of malaria, total",Andean Area,2001,454451
"Reported cases of malaria, total",Andean Area,2002,434677
"Reported cases of malaria, total",Andean Area,2003,373491
"Reported cases of malaria, total",Andean Area,2004,326117
"Reported cases of malaria, total",Andean Area,2005,291569
"Reported cases of malaria, total",Andean Area,2006,250941
"Reported cases of malaria, total",Andean Area,2007,240882
"Reported cases of malaria, total",Andean Area,2008,170428
"Reported cases of malaria, total",Andean Area,2009,171683
"Reported cases of malaria, total",Andean Area,2010,212227
"Reported cases of malaria, total",Andean Area,2011,141514
"Reported cases of malaria, total",Andean Area,2012,152391
"Reported cases of malaria, total",Andean Area,2013,181224
"Reported cases of malaria, total",Andean Area,2014,203794
"Reported cases of malaria, total",Andean Area,2015,267252
"Reported cases of malaria, total",Andean Area,2016,387207
"Reported cases of malaria, total",Bolivia (Plurinational State),1990,19680
"Reported cases of malaria, total",Bolivia (Plurinational State),1991,19031
"Reported cases of malaria, total",Bolivia (Plurinational State),1992,24486
"Reported cases of malaria, total",Bolivia (Plurinational State),1993,27475
"Reported cases of malaria, total",Bolivia (Plurinational State),1994,34749
"Reported cases of malaria, total",Bolivia (Plurinational State),1995,46911
"Reported cases of malaria, total",Bolivia (Plurinational State),1996,64012
"Reported cases of malaria, total",Bolivia (Plurinational State),1997,51478
"Reported cases of malaria, total",Bolivia (Plurinational State),1998,73913
"Reported cases of malaria, total",Bolivia (Plurinational State),1999,50037
"Reported cases of malaria, total",Bolivia (Plurinational State),2000,31469
"Reported cases of malaria, total",Bolivia (Plurinational State),2001,15765
"Reported cases of malaria, total",Bolivia (Plurinational State),2002,14276
"Reported cases of malaria, total",Bolivia (Plurinational State),2003,20343
"Reported cases of malaria, total",Bolivia (Plurinational State),2004,14910
"Reported cases of malaria, total",Bolivia (Plurinational State),2005,20142
"Reported cases of malaria, total",Bolivia (Plurinational State),2006,18995
"Reported cases of malaria, total",Bolivia (Plurinational State),2007,14610
"Reported cases of malaria, total",Bolivia (Plurinational State),2008,9748
"Reported cases of malaria, total",Bolivia (Plurinational State),2009,9743
"Reported cases of malaria, total",Bolivia (Plurinational State),2010,13769
"Reported cases of malaria, total",Bolivia (Plurinational State),2011,7143
"Reported cases of malaria, total",Bolivia (Plurinational State),2012,7415
"Reported cases of malaria, total",Bolivia (Plurinational State),2013,7342
"Reported cases of malaria, total",Bolivia (Plurinational State),2014,7401
"Reported cases of malaria, total",Bolivia (Plurinational State),2015,6907
"Reported cases of malaria, total",Bolivia (Plurinational State),2016,5553
"Reported cases of malaria, total",Colombia,1990,99489
"Reported cases of malaria, total",Colombia,1991,184156
"Reported cases of malaria, total",Colombia,1992,184023
"Reported cases of malaria, total",Colombia,1993,129377
"Reported cases of malaria, total",Colombia,1994,127218
"Reported cases of malaria, total",Colombia,1995,187082
"Reported cases of malaria, total",Colombia,1996,135923
"Reported cases of malaria, total",Colombia,1997,180898
"Reported cases of malaria, total",Colombia,1998,190553
"Reported cases of malaria, total",Colombia,1999,66845
"Reported cases of malaria, total",Colombia,2000,144432
"Reported cases of malaria, total",Colombia,2001,231233
"Reported cases of malaria, total",Colombia,2002,204916
"Reported cases of malaria, total",Colombia,2003,180956
"Reported cases of malaria, total",Colombia,2004,142241
"Reported cases of malaria, total",Colombia,2005,121629
"Reported cases of malaria, total",Colombia,2006,120096
"Reported cases of malaria, total",Colombia,2007,125262
"Reported cases of malaria, total",Colombia,2008,79230
"Reported cases of malaria, total",Colombia,2009,79347
"Reported cases of malaria, total",Colombia,2010,117637
"Reported cases of malaria, total",Colombia,2011,64436
"Reported cases of malaria, total",Colombia,2012,60179
"Reported cases of malaria, total",Colombia,2013,51722
"Reported cases of malaria, total",Colombia,2014,40768
"Reported cases of malaria, total",Colombia,2015,56648
"Reported cases of malaria, total",Colombia,2016,83227
"Reported cases of malaria, total",Ecuador,1990,71670
"Reported cases of malaria, total",Ecuador,1991,59400
"Reported cases of malaria, total",Ecuador,1992,41089
"Reported cases of malaria, total",Ecuador,1993,46859
"Reported cases of malaria, total",Ecuador,1994,30006
"Reported cases of malaria, total",Ecuador,1995,18128
"Reported cases of malaria, total",Ecuador,1996,11914
"Reported cases of malaria, total",Ecuador,1997,16365
"Reported cases of malaria, total",Ecuador,1998,43696
"Reported cases of malaria, total",Ecuador,1999,87620
"Reported cases of malaria, total",Ecuador,2000,104528
"Reported cases of malaria, total",Ecuador,2001,108903
"Reported cases of malaria, total",Ecuador,2002,86757
"Reported cases of malaria, total",Ecuador,2003,52065
"Reported cases of malaria, total",Ecuador,2004,28730
"Reported cases of malaria, total",Ecuador,2005,17050
"Reported cases of malaria, total",Ecuador,2006,9863
"Reported cases of malaria, total",Ecuador,2007,8464
"Reported cases of malaria, total",Ecuador,2008,4891
"Reported cases of malaria, total",Ecuador,2009,4120
"Reported cases of malaria, total",Ecuador,2010,1888
"Reported cases of malaria, total",Ecuador,2011,1233
"Reported cases of malaria, total",Ecuador,2012,558
"Reported cases of malaria, total",Ecuador,2013,378
"Reported cases of malaria, total",Ecuador,2014,241
"Reported cases of malaria, total",Ecuador,2015,686
"Reported cases of malaria, total",Ecuador,2016,1191
"Reported cases of malaria, total",Peru,1990,28882
"Reported cases of malaria, total",Peru,1991,33705
"Reported cases of malaria, total",Peru,1992,54922
"Reported cases of malaria, total",Peru,1993,98557
"Reported cases of malaria, total",Peru,1994,122039
"Reported cases of malaria, total",Peru,1995,190521
"Reported cases of malaria, total",Peru,1996,211561
"Reported cases of malaria, total",Peru,1997,180338
"Reported cases of malaria, total",Peru,1998,247229
"Reported cases of malaria, total",Peru,1999,161292
"Reported cases of malaria, total",Peru,2000,68321
"Reported cases of malaria, total",Peru,2001,78544
"Reported cases of malaria, total",Peru,2002,99237
"Reported cases of malaria, total",Peru,2003,88408
"Reported cases of malaria, total",Peru,2004,93581
"Reported cases of malaria, total",Peru,2005,87699
"Reported cases of malaria, total",Peru,2006,64925
"Reported cases of malaria, total",Peru,2007,50797
"Reported cases of malaria, total",Peru,2008,44522
"Reported cases of malaria, total",Peru,2009,42645
"Reported cases of malaria, total",Peru,2010,33778
"Reported cases of malaria, total",Peru,2011,22878
"Reported cases of malaria, total",Peru,2012,31436
"Reported cases of malaria, total",Peru,2013,43139
"Reported cases of malaria, total",Peru,2014,64676
"Reported cases of malaria, total",Peru,2015,66609
"Reported cases of malaria, total",Peru,2016,56623
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1990,46679
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1991,42826
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1992,21416
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1993,12539
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1994,16311
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1995,22501
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1996,21852
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1997,22400
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1998,21815
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),1999,19086
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2000,29736
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2001,20006
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2002,29491
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2003,31719
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2004,46655
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2005,45049
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2006,37062
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2007,41749
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2008,32037
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2009,35828
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2010,45155
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2011,45824
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2012,52803
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2013,78643
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2014,90708
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2015,136402
"Reported cases of malaria, total",Venezuela (Bolivarian Republic),2016,240613
"Reported cases of malaria, total",Brazil,1990,560396
"Reported cases of malaria, total",Brazil,1991,614431
"Reported cases of malaria, total",Brazil,1992,609860
"Reported cases of malaria, total",Brazil,1993,483367
"Reported cases of malaria, total",Brazil,1994,564406
"Reported cases of malaria, total",Brazil,1995,565727
"Reported cases of malaria, total",Brazil,1996,455194
"Reported cases of malaria, total",Brazil,1997,405051
"Reported cases of malaria, total",Brazil,1998,469982
"Reported cases of malaria, total",Brazil,1999,609594
"Reported cases of malaria, total",Brazil,2000,613241
"Reported cases of malaria, total",Brazil,2001,388303
"Reported cases of malaria, total",Brazil,2002,348259
"Reported cases of malaria, total",Brazil,2003,408886
"Reported cases of malaria, total",Brazil,2004,465004
"Reported cases of malaria, total",Brazil,2005,606067
"Reported cases of malaria, total",Brazil,2006,549469
"Reported cases of malaria, total",Brazil,2007,458652
"Reported cases of malaria, total",Brazil,2008,315746
"Reported cases of malaria, total",Brazil,2009,309316
"Reported cases of malaria, total",Brazil,2010,333339
"Reported cases of malaria, total",Brazil,2011,267045
"Reported cases of malaria, total",Brazil,2012,242756
"Reported cases of malaria, total",Brazil,2013,178546
"Reported cases of malaria, total",Brazil,2014,143145
"Reported cases of malaria, total",Brazil,2015,143162
"Reported cases of malaria, total",Brazil,2016,129250
"Reported cases of malaria, total",Belize,1990,3033
"Reported cases of malaria, total",Belize,1991,3317
"Reported cases of malaria, total",Belize,1992,5341
"Reported cases of malaria, total",Belize,1993,8586
"Reported cases of malaria, total",Belize,1994,10411
"Reported cases of malaria, total",Belize,1995,9413
"Reported cases of malaria, total",Belize,1996,6605
"Reported cases of malaria, total",Belize,1997,4014
"Reported cases of malaria, total",Belize,1998,2614
"Reported cases of malaria, total",Belize,1999,1855
"Reported cases of malaria, total",Belize,2000,1486
"Reported cases of malaria, total",Belize,2001,1162
"Reported cases of malaria, total",Belize,2002,1134
"Reported cases of malaria, total",Belize,2003,1084
"Reported cases of malaria, total",Belize,2004,1066
"Reported cases of malaria, total",Belize,2005,1549
"Reported cases of malaria, total",Belize,2006,844
"Reported cases of malaria, total",Belize,2007,845
"Reported cases of malaria, total",Belize,2008,540
"Reported cases of malaria, total",Belize,2009,256
"Reported cases of malaria, total",Belize,2010,150
"Reported cases of malaria, total",Belize,2011,79
"Reported cases of malaria, total",Belize,2012,37
"Reported cases of malaria, total",Belize,2013,26
"Reported cases of malaria, total",Belize,2014,19
"Reported cases of malaria, total",Belize,2015,13
"Reported cases of malaria, total",Belize,2016,5
"Reported cases of malaria, total",Costa Rica,1990,1151
"Reported cases of malaria, total",Costa Rica,1991,3273
"Reported cases of malaria, total",Costa Rica,1992,6951
"Reported cases of malaria, total",Costa Rica,1993,5033
"Reported cases of malaria, total",Costa Rica,1994,4445
"Reported cases of malaria, total",Costa Rica,1995,4515
"Reported cases of malaria, total",Costa Rica,1996,5480
"Reported cases of malaria, total",Costa Rica,1997,4712
"Reported cases of malaria, total",Costa Rica,1998,5148
"Reported cases of malaria, total",Costa Rica,1999,3998
"Reported cases of malaria, total",Costa Rica,2000,1879
"Reported cases of malaria, total",Costa Rica,2001,1363
"Reported cases of malaria, total",Costa Rica,2002,1021
"Reported cases of malaria, total",Costa Rica,2003,718
"Reported cases of malaria, total",Costa Rica,2004,1289
"Reported cases of malaria, total",Costa Rica,2005,3541
"Reported cases of malaria, total",Costa Rica,2006,2903
"Reported cases of malaria, total",Costa Rica,2007,1223
"Reported cases of malaria, total",Costa Rica,2008,966
"Reported cases of malaria, total",Costa Rica,2009,262
"Reported cases of malaria, total",Costa Rica,2010,114
"Reported cases of malaria, total",Costa Rica,2011,17
"Reported cases of malaria, total",Costa Rica,2012,8
"Reported cases of malaria, total",Costa Rica,2013,6
"Reported cases of malaria, total",Costa Rica,2014,6
"Reported cases of malaria, total",Costa Rica,2015,8
"Reported cases of malaria, total",Costa Rica,2016,13
"Reported cases of malaria, total",Central American Isthmus,1990,144429
"Reported cases of malaria, total",Central American Isthmus,1991,172490
"Reported cases of malaria, total",Central American Isthmus,1992,172822
"Reported cases of malaria, total",Central American Isthmus,1993,155869
"Reported cases of malaria, total",Central American Isthmus,1994,143677
"Reported cases of malaria, total",Central American Isthmus,1995,185990
"Reported cases of malaria, total",Central American Isthmus,1996,206122
"Reported cases of malaria, total",Central American Isthmus,1997,163777
"Reported cases of malaria, total",Central American Isthmus,1998,135193
"Reported cases of malaria, total",Central American Isthmus,1999,143947
"Reported cases of malaria, total",Central American Isthmus,2000,117468
"Reported cases of malaria, total",Central American Isthmus,2001,74270
"Reported cases of malaria, total",Central American Isthmus,2002,64974
"Reported cases of malaria, total",Central American Isthmus,2003,58354
"Reported cases of malaria, total",Central American Isthmus,2004,60707
"Reported cases of malaria, total",Central American Isthmus,2005,71044
"Reported cases of malaria, total",Central American Isthmus,2006,51589
"Reported cases of malaria, total",Central American Isthmus,2007,30640
"Reported cases of malaria, total",Central American Isthmus,2008,18611
"Reported cases of malaria, total",Central American Isthmus,2009,18327
"Reported cases of malaria, total",Central American Isthmus,2010,18281
"Reported cases of malaria, total",Central American Isthmus,2011,15827
"Reported cases of malaria, total",Central American Isthmus,2012,13925
"Reported cases of malaria, total",Central American Isthmus,2013,13580
"Reported cases of malaria, total",Central American Isthmus,2014,10381
"Reported cases of malaria, total",Central American Isthmus,2015,12012
"Reported cases of malaria, total",Central American Isthmus,2016,16078
"Reported cases of malaria, total",Guatemala,1990,41711
"Reported cases of malaria, total",Guatemala,1991,57829
"Reported cases of malaria, total",Guatemala,1992,57560
"Reported cases of malaria, total",Guatemala,1993,41868
"Reported cases of malaria, total",Guatemala,1994,22057
"Reported cases of malaria, total",Guatemala,1995,24178
"Reported cases of malaria, total",Guatemala,1996,20268
"Reported cases of malaria, total",Guatemala,1997,32099
"Reported cases of malaria, total",Guatemala,1998,46765
"Reported cases of malaria, total",Guatemala,1999,45723
"Reported cases of malaria, total",Guatemala,2000,53311
"Reported cases of malaria, total",Guatemala,2001,35824
"Reported cases of malaria, total",Guatemala,2002,35540
"Reported cases of malaria, total",Guatemala,2003,31127
"Reported cases of malaria, total",Guatemala,2004,28955
"Reported cases of malaria, total",Guatemala,2005,39571
"Reported cases of malaria, total",Guatemala,2006,31093
"Reported cases of malaria, total",Guatemala,2007,15382
"Reported cases of malaria, total",Guatemala,2008,7198
"Reported cases of malaria, total",Guatemala,2009,7080
"Reported cases of malaria, total",Guatemala,2010,7198
"Reported cases of malaria, total",Guatemala,2011,6822
"Reported cases of malaria, total",Guatemala,2012,5346
"Reported cases of malaria, total",Guatemala,2013,6214
"Reported cases of malaria, total",Guatemala,2014,4931
"Reported cases of malaria, total",Guatemala,2015,5538
"Reported cases of malaria, total",Guatemala,2016,4854
"Reported cases of malaria, total",Honduras,1990,53099
"Reported cases of malaria, total",Honduras,1991,73352
"Reported cases of malaria, total",Honduras,1992,70838
"Reported cases of malaria, total",Honduras,1993,51977
"Reported cases of malaria, total",Honduras,1994,61736
"Reported cases of malaria, total",Honduras,1995,74346
"Reported cases of malaria, total",Honduras,1996,91799
"Reported cases of malaria, total",Honduras,1997,67870
"Reported cases of malaria, total",Honduras,1998,44337
"Reported cases of malaria, total",Honduras,1999,51911
"Reported cases of malaria, total",Honduras,2000,35125
"Reported cases of malaria, total",Honduras,2001,24149
"Reported cases of malaria, total",Honduras,2002,17223
"Reported cases of malaria, total",Honduras,2003,14123
"Reported cases of malaria, total",Honduras,2004,17293
"Reported cases of malaria, total",Honduras,2005,16007
"Reported cases of malaria, total",Honduras,2006,11923
"Reported cases of malaria, total",Honduras,2007,10513
"Reported cases of malaria, total",Honduras,2008,8368
"Reported cases of malaria, total",Honduras,2009,9321
"Reported cases of malaria, total",Honduras,2010,9685
"Reported cases of malaria, total",Honduras,2011,7615
"Reported cases of malaria, total",Honduras,2012,6434
"Reported cases of malaria, total",Honduras,2013,5428
"Reported cases of malaria, total",Honduras,2014,3380
"Reported cases of malaria, total",Honduras,2015,3575
"Reported cases of malaria, total",Honduras,2016,4097
"Reported cases of malaria, total",Nicaragua,1990,35785
"Reported cases of malaria, total",Nicaragua,1991,27653
"Reported cases of malaria, total",Nicaragua,1992,26866
"Reported cases of malaria, total",Nicaragua,1993,44037
"Reported cases of malaria, total",Nicaragua,1994,41490
"Reported cases of malaria, total",Nicaragua,1995,69444
"Reported cases of malaria, total",Nicaragua,1996,75606
"Reported cases of malaria, total",Nicaragua,1997,51858
"Reported cases of malaria, total",Nicaragua,1998,34108
"Reported cases of malaria, total",Nicaragua,1999,38294
"Reported cases of malaria, total",Nicaragua,2000,23878
