date,prcpMin,prcpMax,tmpAvg
1990,16.5,32.4,27.17878788
1991,18.85,31,26.5
1992,21.2,30.6,26.84644195
1993,18.8,31.7,27.07150206
1994,17.6,31.2,27.26514286
1995,19.9,30.7,25.63958333
1996,18.2,30.3,26.82392694
1997,18.8,31.7,27.70349908
1998,20.9,31.2,27.73171429
1999,20.7,30.4,26.83806871
2000,20.8,30.6,26.91190476
2001,19.9,30.3,27.20228311
2002,19.5,30.6,27.43808219
2003,19,31.8,27.47697974
2004,20.5,31.6,27.42434457
2005,21.9,34.1,27.61699905
2006,19.3,31.1,27.31501832
2007,20.9,32.5,27.66114458
2008,19.9,31.7,27.3620133
2009,19,32.6,27.55361111
2010,18.1,31.5,27.18494922
2011,20.2,31.1,27.46621005
2012,20.8,30.3,27.28387978
2013,20.9,30.1,27.08205128
2014,18.9,30.5,27.1231685
2015,21.6,30.8,27.59926941
2016,19.7,30.7,27.41634703
