date,prcpMin,prcpMax,tmpAvg
1990,19.6,29.2,22.794972677595656
1991,19.3,28.6,22.830232558139507
1992,18.2,30.7,22.61849056603773
1993,18.1,25.4,22.070402298850592
1994,17.8,26.5,22.75134228187917
1995,19.6,26.4,22.759016393442593
1996,17.3,29.8,22.801691542288488
1997,19.5,26.2,22.942975206611507
1998,19.6,28.3,23.18644688644682
1999,19.3,26.4,21.94001831501828
2000,19.6,25.2,22.364088397790052
2001,20.2,27.4,22.941941391941437
2002,19.9,27.3,23.382875457875567
2003,20.7,26.3,23.053754578754702
2004,20.3,27.3,22.954761904762027
2005,19.6,25.2,22.343378995433902
2006,18.3,25.4,22.61050228310508
2007,18.7,25.9,22.447214611872173
2008,18.6,24.9,22.022404371584763
2009,20.7,25.3,22.705570776255765
2010,19.2,26.1,22.470502283105052
2011,18.3,24.9,22.3030136986301
2012,19.3,25.1,22.43360655737699
2013,20.0,25.3,22.583699633699545
2014,20.2,25.2,22.78803652968019
2015,21.1,26.1,23.22657534246559
2016,19.9,26.3,22.97639269406375
